URL,Name,Sprint_Speed,Finishing,Short_Passing,Dribbling,Standing_Tackle,Strength,Overall,Potential,Age,Target_Value_EUR
https://sofifa.com/player/271234/jacob-jones/230013/,Jacob Jones,74.0,34.0,42.0,51.0,52.0,73.0,55.0,64.0,20,18406037
https://sofifa.com/player/274931/alexander-aoraha/250017/,Alexander Aoraha,63.0,41.0,64.0,62.0,44.0,47.0,57.0,71.0,21,29449659
https://sofifa.com/player/241569/david-martinez/260031/,David Martínez,77.0,43.0,72.0,67.0,72.0,79.0,72.0,72.0,27,29449659
https://sofifa.com/player/276692/andrei-gheorghita/260031/,Andrei Gheorghiță,81.0,60.0,60.0,64.0,41.0,62.0,64.0,70.0,22,18406037
https://sofifa.com/player/272992/bruno-rodrigues-mota/260031/,Bruno Rodrigues Mota,71.0,76.0,59.0,59.0,26.0,90.0,72.0,72.0,29,47855696
https://sofifa.com/player/272568/ibrahim-diakite/260031/,Ibrahim Diakité,75.0,37.0,68.0,64.0,71.0,66.0,66.0,78.0,21,29449659
https://sofifa.com/player/276997/joao-rodrigo-pereira-escoval/240050/,João Rodrigo Pereira Escoval,67.0,24.0,66.0,39.0,74.0,71.0,67.0,70.0,26,55218111
https://sofifa.com/player/271723/cristian-arce/240027/,Cristian Arce,30.0,8.0,25.0,10.0,16.0,60.0,64.0,64.0,29,36812074
https://sofifa.com/player/237391/manuel-de-luca/260031/,Manuel De Luca,52.0,72.0,61.0,62.0,22.0,81.0,69.0,70.0,26,22087244
https://sofifa.com/player/274004/francisco-silva/260031/,Francisco Silva,72.0,61.0,58.0,66.0,45.0,51.0,63.0,63.0,27,25768452
https://sofifa.com/player/83913/august-de-wannemacker/260031/,August De Wannemacker,72.0,51.0,65.0,64.0,51.0,47.0,62.0,79.0,16,18406037
https://sofifa.com/player/random?1775801181,Fabian Tait,68.0,53.0,72.0,64.0,57.0,66.0,67.0,67.0,32,29449659
https://sofifa.com/player/276739/kevin-haveri/240024/,Kevin Haveri,75.0,29.0,58.0,68.0,62.0,55.0,66.0,74.0,21,22087244
https://sofifa.com/player/259584/matteo-ruggeri/260031/,Matteo Ruggeri,79.0,61.0,78.0,71.0,75.0,69.0,77.0,83.0,22,110436223
https://sofifa.com/player/277356/mouhamed-diop/260031/,Mouhamed Diop,70.0,59.0,70.0,64.0,61.0,67.0,66.0,71.0,24,40493281
https://sofifa.com/player/272404/gabriel-zirngast/250021/,Gabriel Zirngast,52.0,59.0,62.0,62.0,48.0,56.0,59.0,68.0,22,18406037
https://sofifa.com/player/230786/jose-luis-garcia-vaya/260031/,Jose Luís García Vayá,67.0,66.0,79.0,74.0,78.0,75.0,76.0,77.0,26,29449659
https://sofifa.com/player/276070/terry-devlin/260031/,Terry Devlin,75.0,55.0,65.0,62.0,67.0,70.0,69.0,77.0,21,22087244
https://sofifa.com/player/276793/ignacio-pacheco/250033/,Ignacio Pacheco,59.0,27.0,65.0,54.0,58.0,64.0,60.0,73.0,20,47855696
https://sofifa.com/player/278261/ousmane-toure/260031/,Ousmane Touré,75.0,20.0,59.0,53.0,68.0,70.0,65.0,77.0,20,25768452
https://sofifa.com/player/273084/gaston-pedernera/240006/,Gastón Pedernera,74.0,67.0,55.0,64.0,33.0,35.0,63.0,72.0,22,110436223
https://sofifa.com/player/272896/yannik-luhrs/260031/,Yannik Lührs,65.0,18.0,51.0,42.0,66.0,78.0,64.0,74.0,21,29449659
https://sofifa.com/player/230459/tiago-nathan-pombeira-gesser/260031/,Tiago Nathan Pombeira Gesser,73.0,61.0,70.0,74.0,33.0,45.0,70.0,70.0,25,22087244
https://sofifa.com/player/272430/alejandro-garcia-mejias/260031/,Alejandro García Mejías,83.0,73.0,67.0,70.0,48.0,63.0,70.0,79.0,22,40493281
https://sofifa.com/player/261050/francisco-f-da-conceicao/260031/,Francisco F. da Conceição,87.0,74.0,78.0,85.0,42.0,40.0,79.0,86.0,22,22087244
https://sofifa.com/player/275704/florian-thomas-danho/260007/,Florian Thomas Danho,78.0,66.0,62.0,61.0,19.0,89.0,67.0,72.0,25,17669795
https://sofifa.com/player/277001/victor-udoh/250021/,Victor Udoh,91.0,63.0,61.0,68.0,16.0,52.0,62.0,72.0,19,22087244
https://sofifa.com/player/274357/angel-alarcon-galiot/260031/,Ángel Alarcón Galiot,81.0,68.0,62.0,68.0,16.0,58.0,67.0,80.0,21,22087244
https://sofifa.com/player/275401/matija-frigan/260031/,Matija Frigan,79.0,75.0,61.0,73.0,38.0,76.0,73.0,82.0,22,22087244
https://sofifa.com/player/279226/aran-fitzpatrick/250044/,Aran Fitzpatrick,73.0,38.0,42.0,50.0,48.0,52.0,52.0,58.0,18,25768452
https://sofifa.com/player/274260/santiago-delgadillo/250033/,Santiago Delgadillo,33.0,14.0,29.0,19.0,17.0,65.0,58.0,75.0,19,22087244
https://sofifa.com/player/251517/josko-gvardiol/260031/,Joško Gvardiol,79.0,68.0,82.0,79.0,85.0,82.0,85.0,88.0,23,51536904
https://sofifa.com/player/275520/manuel-bueno-sebastian/260031/,Manuel Bueno Sebastián,48.0,65.0,69.0,66.0,64.0,55.0,66.0,77.0,20,22087244
https://sofifa.com/player/267849/tommi-oreilly/260031/,Tommi O'Reilly,75.0,58.0,61.0,64.0,54.0,43.0,64.0,71.0,21,36812074
https://sofifa.com/player/279331/rodrigo-paz-evaldes/250033/,Rodrigo Paz Evaldes,77.0,62.0,73.0,67.0,62.0,80.0,70.0,70.0,28,47855696
https://sofifa.com/player/274125/santiago-morales/260031/,Santiago Morales,63.0,24.0,43.0,30.0,68.0,75.0,64.0,70.0,23,25768452
https://sofifa.com/player/243780/kang-in-lee/260031/,Kang In Lee,69.0,76.0,81.0,83.0,55.0,56.0,80.0,83.0,24,20614761
https://sofifa.com/player/223334/joelinton-apolinario-de-lira/260031/,Joelinton Apolinário de Lira,78.0,75.0,81.0,83.0,84.0,90.0,81.0,81.0,28,22087244
https://sofifa.com/player/230352/rodolfo-moguerna/260031/,Rodolfo Moguerna,66.0,22.0,68.0,59.0,66.0,59.0,64.0,64.0,29,47855696
https://sofifa.com/player/229261/denis-zakaria/260031/,Denis Zakaria,86.0,64.0,82.0,78.0,82.0,87.0,81.0,81.0,28,18406037
https://sofifa.com/player/79270/alisson-de-almeida-santos/260031/,Alisson de Almeida Santos,83.0,60.0,62.0,75.0,34.0,58.0,68.0,77.0,22,47855696
https://sofifa.com/player/227174/matty-cash/260031/,Matty Cash,75.0,66.0,77.0,76.0,80.0,68.0,81.0,81.0,27,20614761
https://sofifa.com/player/277490/buanthanglun-samte/260031/,Buanthanglun Samte,59.0,25.0,43.0,49.0,49.0,48.0,52.0,55.0,25,18406037
https://sofifa.com/player/241721/rafael-da-conceicao-leao/260031/,Rafael da Conceição Leão,93.0,82.0,83.0,87.0,24.0,79.0,84.0,85.0,26,47855696
https://sofifa.com/player/276051/cristian-shiba/240024/,Cristian Shiba,62.0,21.0,47.0,43.0,62.0,64.0,57.0,66.0,22,25768452
https://sofifa.com/player/271399/andrea-oliveri/260031/,Andrea Oliveri,72.0,56.0,66.0,58.0,65.0,49.0,63.0,72.0,22,18406037
https://sofifa.com/player/251805/jurrien-timber/260031/,Jurriën Timber,76.0,41.0,81.0,77.0,85.0,82.0,84.0,87.0,24,51536904
https://sofifa.com/player/273532/brian-gonzalez/250015/,Brian González,75.0,64.0,56.0,63.0,32.0,54.0,64.0,67.0,25,33130866
https://sofifa.com/player/276706/antonio-vergara/260031/,Antonio Vergara,69.0,66.0,67.0,68.0,40.0,57.0,67.0,76.0,22,20614761
https://sofifa.com/player/274261/marco-salazar/250033/,Marco Salazar,71.0,55.0,60.0,66.0,61.0,54.0,63.0,75.0,19,22087244
https://sofifa.com/player/259399/rasmus-hojlund/260031/,Rasmus Højlund,86.0,79.0,72.0,75.0,28.0,82.0,77.0,83.0,22,36812074
https://sofifa.com/player/278394/francisco-javie-gonzalez-perez/260031/,Francisco Javie González Pérez,19.0,9.0,19.0,6.0,14.0,66.0,64.0,81.0,20,22087244
https://sofifa.com/player/275333/alberto-mari-sanchez/260031/,Alberto Marí Sánchez,40.0,66.0,65.0,64.0,22.0,67.0,64.0,68.0,23,18406037
https://sofifa.com/player/272948/lucas-lopez/250019/,Lucas López,71.0,51.0,64.0,58.0,63.0,57.0,61.0,62.0,26,18406037
https://sofifa.com/player/278538/diego-rosales-illanes/250014/,Diego Rosales Illanes,60.0,25.0,51.0,32.0,66.0,70.0,61.0,69.0,21,18406037
https://sofifa.com/player/226754/ismael-bennacer/260031/,Ismaël Bennacer,73.0,67.0,84.0,83.0,81.0,69.0,80.0,80.0,27,23559727
https://sofifa.com/player/226268/federico-dimarco/260031/,Federico Dimarco,79.0,74.0,85.0,78.0,81.0,72.0,86.0,86.0,27,36812074
https://sofifa.com/player/271192/victor-akinwale/240020/,Victor Akinwale,62.0,61.0,48.0,58.0,14.0,34.0,56.0,74.0,18,22087244
https://sofifa.com/player/278392/david-lopez-guijarro/260031/,David López Guijarro,65.0,32.0,66.0,50.0,67.0,80.0,69.0,78.0,22,73624148
https://sofifa.com/player/234681/maximilian-goppel/210019/,Maximilian Göppel,70.0,30.0,55.0,56.0,55.0,59.0,59.0,65.0,22,29449659
https://sofifa.com/player/273929/adam-hayton/250044/,Adam Hayton,31.0,9.0,27.0,8.0,12.0,62.0,51.0,65.0,20,44174489
https://sofifa.com/player/75959/jefry-zapata/260031/,Jefry Zapata,70.0,69.0,68.0,70.0,33.0,52.0,68.0,69.0,25,18406037
https://sofifa.com/player/275109/tanguan-zhing/230054/,Tanguan Zhing,31.0,9.0,18.0,11.0,13.0,56.0,46.0,46.0,26,18406037
https://sofifa.com/player/75605/raul-asencio-del-rosario/260031/,Raúl Asencio del Rosario,86.0,35.0,79.0,71.0,78.0,78.0,78.0,84.0,22,18406037
https://sofifa.com/player/70004/senny-mayulu/260031/,Senny Mayulu,74.0,74.0,80.0,78.0,68.0,52.0,77.0,86.0,19,29449659
https://sofifa.com/player/261245/dani-pereira/260031/,Dani Pereira,79.0,51.0,74.0,73.0,61.0,56.0,68.0,73.0,24,110436223
https://sofifa.com/player/278980/david-selles-lopez/250044/,David Sellés López,59.0,32.0,60.0,38.0,60.0,55.0,59.0,70.0,21,73624148
https://sofifa.com/player/273576/cameron-elliott/240050/,Cameron Elliott,55.0,55.0,43.0,53.0,20.0,55.0,53.0,57.0,24,44174489
https://sofifa.com/player/279767/hugo-felix-sequeira/260031/,Hugo Félix Sequeira,72.0,62.0,64.0,70.0,30.0,37.0,67.0,77.0,21,66261733
https://sofifa.com/player/269276/gaetano-oristanio/260031/,Gaetano Oristanio,86.0,73.0,73.0,75.0,49.0,60.0,73.0,79.0,22,17669795
https://sofifa.com/player/279237/jacob-hamman/250001/,Jacob Hamman,65.0,38.0,53.0,47.0,48.0,37.0,50.0,67.0,19,18406037
https://sofifa.com/player/222464/antonio-sivera-salva/260031/,Antonio Sivera Salvá,55.0,15.0,34.0,14.0,17.0,63.0,77.0,79.0,28,29449659
https://sofifa.com/player/274534/andrew-privett/260031/,Andrew Privett,64.0,28.0,65.0,50.0,68.0,72.0,66.0,73.0,24,18406037
https://sofifa.com/player/273022/yeray-cabanzon-de-arriba/260031/,Yeray Cabanzón de Arriba,75.0,64.0,64.0,66.0,32.0,47.0,66.0,76.0,22,47855696
https://sofifa.com/player/252796/morgan-whittaker/260031/,Morgan Whittaker,78.0,74.0,70.0,75.0,38.0,67.0,74.0,77.0,24,44174489
https://sofifa.com/player/279600/hassan-ali/240050/,Hassan Ali,59.0,23.0,52.0,37.0,52.0,53.0,53.0,67.0,17,20614761
https://sofifa.com/player/274745/rodrigo-cabrera/240034/,Rodrigo Cabrera,74.0,29.0,52.0,61.0,60.0,50.0,62.0,70.0,18,27977176
https://sofifa.com/player/244767/carlos-vicente-robles/260031/,Carlos Vicente Robles,79.0,74.0,76.0,76.0,41.0,63.0,77.0,78.0,26,19142278
https://sofifa.com/player/272426/rodrigo-perez/260031/,Rodrigo Pérez,68.0,57.0,70.0,69.0,67.0,71.0,68.0,68.0,28,47855696
https://sofifa.com/player/276688/dimo-krastev/240050/,Dimo Krastev,74.0,37.0,60.0,56.0,64.0,70.0,64.0,77.0,20,58899318
https://sofifa.com/player/276973/christoph-urdl/250001/,Christoph Urdl,68.0,63.0,60.0,62.0,37.0,62.0,61.0,65.0,24,22087244
