TM_Name,TM_Position,TM_Age,Market_Value
Gonçalo Inácio,Centre-Back,24,₹320 Cr
Jamie Leweling,Right Winger,25,₹320 Cr
Tino Livramento,Right-Back,23,₹320 Cr
Pape Gueye,Central Midfield,27,₹320 Cr
Lisandro Martínez,Centre-Back,28,₹320 Cr
Khéphren Thuram,Central Midfield,25,₹320 Cr
Yann Bisseck,Centre-Back,25,₹320 Cr
Maxence Lacroix,Centre-Back,26,₹320 Cr
Ezri Konsa,Centre-Back,28,₹320 Cr
Ademola Lookman,Second Striker,28,₹320 Cr
Boubacar Kamara,Defensive Midfield,26,₹320 Cr
Moise Kean,Centre-Forward,26,₹320 Cr
Diogo Costa,Goalkeeper,26,₹320 Cr
Fabián Ruiz,Central Midfield,30,₹320 Cr
Trevoh Chalobah,Centre-Back,26,₹320 Cr
Matthijs de Ligt,Centre-Back,26,₹320 Cr
Serhou Guirassy,Centre-Forward,30,₹320 Cr
Marcus Rashford,Left Winger,28,₹320 Cr
Gregor Kobel,Goalkeeper,28,₹320 Cr
Bruno Fernandes,Attacking Midfield,31,₹320 Cr
Joshua Kimmich,Defensive Midfield,31,₹320 Cr
Rodrigo Mora,Attacking Midfield,18,₹304 Cr
Vitor Roque,Centre-Forward,21,₹304 Cr
Said El Mala,Left Winger,19,₹280 Cr
Bazoumana Touré,Left Winger,20,₹280 Cr
Joaquín Panichelli,Centre-Forward,23,₹280 Cr
Konstantinos Karetsas,Attacking Midfield,18,₹280 Cr
Endrick,Centre-Forward,19,₹280 Cr
Mikel Jauregizar,Central Midfield,22,₹280 Cr
Johan Manzambi,Central Midfield,20,₹280 Cr
Patrick Dorgu,Left-Back,21,₹280 Cr
Archie Gray,Central Midfield,20,₹280 Cr
Lamine Camara,Central Midfield,22,₹280 Cr
Jorrel Hato,Left-Back,20,₹280 Cr
Myles Lewis-Skelly,Left-Back,19,₹280 Cr
Mateus Fernandes,Central Midfield,21,₹280 Cr
Santiago Castro,Centre-Forward,21,₹280 Cr
Valentín Barco,Central Midfield,21,₹280 Cr
Ange-Yoan Bonny,Centre-Forward,22,₹280 Cr
Michael Kayode,Right-Back,21,₹280 Cr
Dango Ouattara,Right Winger,24,₹280 Cr
Abdukodir Khusanov,Centre-Back,22,₹280 Cr
João Gomes,Central Midfield,25,₹280 Cr
Evanilson,Centre-Forward,26,₹280 Cr
Nathaniel Brown,Left-Back,22,₹280 Cr
Jamie Gittens,Left Winger,21,₹280 Cr
Lewis Hall,Left-Back,21,₹280 Cr
Matías Soulé,Right Winger,22,₹280 Cr
Igor Paixão,Left Winger,25,₹280 Cr
Cristhian Mosquera,Centre-Back,21,₹280 Cr
Malo Gusto,Right-Back,22,₹280 Cr
Jan Paul van Hecke,Centre-Back,25,₹280 Cr
Strahinja Pavlović,Centre-Back,24,₹280 Cr
Oihan Sancet,Attacking Midfield,25,₹280 Cr
Yéremy Pino,Right Winger,23,₹280 Cr
Edmond Tapsoba,Centre-Back,27,₹280 Cr
Destiny Udogie,Left-Back,23,₹280 Cr
Mateo Retegui,Centre-Forward,26,₹280 Cr
Gonçalo Ramos,Centre-Forward,24,₹280 Cr
Jonathan David,Centre-Forward,26,₹280 Cr
Bremer,Centre-Back,29,₹280 Cr
James Garner,Defensive Midfield,25,₹280 Cr
Jacob Ramsey,Central Midfield,24,₹280 Cr
Conor Gallagher,Central Midfield,26,₹280 Cr
Jeremie Frimpong,Right-Back,25,₹280 Cr
Josip Stanisic,Right-Back,26,₹280 Cr
Kevin Schade,Left Winger,24,₹280 Cr
Brennan Johnson,Right Winger,24,₹280 Cr
Eric García,Centre-Back,25,₹280 Cr
Lucas Paquetá,Attacking Midfield,28,₹280 Cr
Charles De Ketelaere,Attacking Midfield,25,₹280 Cr
Curtis Jones,Central Midfield,25,₹280 Cr
Dejan Kulusevski,Attacking Midfield,25,₹280 Cr
Jean-Philippe Mateta,Centre-Forward,28,₹280 Cr
Francisco Trincão,Attacking Midfield,26,₹280 Cr
Ismaïla Sarr,Right Winger,28,₹280 Cr
Dávid Hancko,Centre-Back,28,₹280 Cr
Alessandro Buongiorno,Centre-Back,26,₹280 Cr
Evan Ndicka,Centre-Back,26,₹280 Cr
Dan Ndoye,Right Winger,25,₹280 Cr
Sven Botman,Centre-Back,26,₹280 Cr
Dušan Vlahović,Centre-Forward,26,₹280 Cr
Mile Svilar,Goalkeeper,26,₹280 Cr
Jonathan Burkardt,Centre-Forward,25,₹280 Cr
Donyell Malen,Centre-Forward,27,₹280 Cr
Jarrod Bowen,Right Winger,29,₹280 Cr
Brahim Díaz,Right Winger,26,₹280 Cr
David Raya,Goalkeeper,30,₹280 Cr
Dominic Solanke,Centre-Forward,28,₹280 Cr
Youri Tielemans,Central Midfield,28,₹280 Cr
Joel Ordóñez,Centre-Back,21,₹264 Cr
Hugo Larsson,Central Midfield,21,₹256 Cr
Antonio Nusa,Left Winger,20,₹256 Cr
Habib Diarra,Central Midfield,22,₹256 Cr
Alan Varela,Defensive Midfield,24,₹256 Cr
Ismael Saibari,Attacking Midfield,25,₹256 Cr
Rico Lewis,Right-Back,21,₹256 Cr
Bilal El Khannouss,Attacking Midfield,21,₹256 Cr
Liam Delap,Centre-Forward,23,₹256 Cr
Pierre Kalulu,Centre-Back,25,₹256 Cr
Pape Matar Sarr,Central Midfield,23,₹256 Cr
Sepp van den Berg,Centre-Back,24,₹256 Cr
Kiernan Dewsbury-Hall,Central Midfield,27,₹256 Cr
Harvey Barnes,Left Winger,28,₹256 Cr
Loïs Openda,Centre-Forward,26,₹256 Cr
Vangelis Pavlidis,Centre-Forward,27,₹256 Cr
Konrad Laimer,Right-Back,28,₹256 Cr
Jesús Rodríguez,Left Winger,20,₹240 Cr
Ibrahim Mbaye,Right Winger,18,₹240 Cr
Assane Diao,Left Winger,20,₹240 Cr
Marc Bernal,Defensive Midfield,18,₹240 Cr
Vitor Reis,Centre-Back,20,₹240 Cr
Rômulo,Centre-Forward,24,₹240 Cr
Thierno Barry,Centre-Forward,23,₹240 Cr
Gonzalo García,Centre-Forward,22,₹240 Cr
Victor Froholdt,Central Midfield,20,₹240 Cr
Finn Jeltsch,Centre-Back,19,₹240 Cr
Kevin,Left Winger,23,₹240 Cr
Marco Palestra,Right-Back,21,₹240 Cr
Mamadou Sangaré,Central Midfield,23,₹240 Cr
Jobe Bellingham,Central Midfield,20,₹240 Cr
Malick Fofana,Left Winger,21,₹240 Cr
Omari Hutchinson,Attacking Midfield,22,₹240 Cr
Noah Sadiki,Central Midfield,21,₹240 Cr
Abde Ezzalzouli,Left Winger,24,₹240 Cr
Matías Fernández-Pardo,Left Winger,21,₹240 Cr
Yegor Yarmolyuk,Central Midfield,22,₹240 Cr
Máximo Perrone,Defensive Midfield,23,₹240 Cr
Petar Sučić,Central Midfield,22,₹240 Cr
Yasin Ayari,Central Midfield,22,₹240 Cr
Oscar Bobb,Right Winger,22,₹240 Cr
Gavi,Central Midfield,21,₹240 Cr
Conor Bradley,Right-Back,22,₹240 Cr
Mario Gila,Centre-Back,25,₹240 Cr
Ardon Jashari,Defensive Midfield,23,₹240 Cr
Giorgio Scalvini,Centre-Back,22,₹240 Cr
Zeno Debast,Centre-Back,22,₹240 Cr
Mikkel Damsgaard,Attacking Midfield,25,₹240 Cr
Georginio Rutter,Centre-Forward,23,₹240 Cr
Fisnik Asllani,Centre-Forward,23,₹240 Cr
Senne Lammens,Goalkeeper,23,₹240 Cr
Folarin Balogun,Centre-Forward,24,₹240 Cr
Francisco Conceição,Right Winger,23,₹240 Cr
Ian Maatsen,Left-Back,24,₹240 Cr
Djed Spence,Left-Back,25,₹240 Cr
Manuel Ugarte,Defensive Midfield,25,₹240 Cr
Crysencio Summerville,Left Winger,24,₹240 Cr
Nathan Collins,Centre-Back,24,₹240 Cr
Malik Tillman,Attacking Midfield,23,₹240 Cr
Bafodé Diakité,Centre-Back,25,₹240 Cr
Lucas Chevalier,Goalkeeper,24,₹240 Cr
Andrea Cambiaso,Left-Back,26,₹240 Cr
Christos Tzolis,Left Winger,24,₹240 Cr
Nikola Milenković,Centre-Back,28,₹240 Cr
Takefusa Kubo,Right Winger,24,₹240 Cr
Exequiel Palacios,Central Midfield,27,₹240 Cr
Callum Hudson-Odoi,Left Winger,25,₹240 Cr
Yoane Wissa,Centre-Forward,29,₹240 Cr
Ferdi Kadıoğlu,Left-Back,26,₹240 Cr
Diogo Dalot,Right-Back,27,₹240 Cr
Mason Mount,Attacking Midfield,27,₹240 Cr
Mikel Merino,Central Midfield,29,₹240 Cr
Ben White,Right-Back,28,₹240 Cr
Joelinton,Central Midfield,29,₹240 Cr
Weston McKennie,Central Midfield,27,₹240 Cr
Justin Kluivert,Attacking Midfield,26,₹240 Cr
Ollie Watkins,Centre-Forward,30,₹240 Cr
Christoph Baumgartner,Attacking Midfield,26,₹240 Cr
Jonathan Tah,Centre-Back,30,₹240 Cr
Marquinhos,Centre-Back,31,₹240 Cr
Mohamed Salah,Right Winger,33,₹240 Cr
El Hadji Malick Diouf,Left-Back,21,₹224 Cr
Assan Ouédraogo,Central Midfield,19,₹224 Cr
Marc Pubill,Centre-Back,22,₹224 Cr
Georges Mikautadze,Centre-Forward,25,₹224 Cr
Brajan Gruda,Attacking Midfield,21,₹224 Cr
António Silva,Centre-Back,22,₹224 Cr
Georgiy Sudakov,Attacking Midfield,23,₹224 Cr
Enzo Millot,Attacking Midfield,23,₹224 Cr
Emmanuel Emegha,Centre-Forward,23,₹224 Cr
Kang-in Lee,Attacking Midfield,25,₹224 Cr
Dilane Bakwa,Right Winger,23,₹224 Cr
Hayden Hackney,Defensive Midfield,23,₹224 Cr
Taty Castellanos,Centre-Forward,27,₹224 Cr
Fábio Silva,Centre-Forward,23,₹224 Cr
Tomás Araújo,Centre-Back,23,₹224 Cr
Giorgi Mamardashvili,Goalkeeper,25,₹224 Cr
Evann Guessand,Right Winger,24,₹224 Cr
Wesley Fofana,Centre-Back,25,₹224 Cr
David Neres,Right Winger,29,₹224 Cr
Mattéo Guendouzi,Central Midfield,26,₹224 Cr
Djordje Petrovic,Goalkeeper,26,₹224 Cr
Calvin Bassey,Centre-Back,26,₹224 Cr
Pedro Gonçalves,Left Winger,27,₹224 Cr
Luis Suárez,Centre-Forward,28,₹224 Cr
Amine Gouiri,Centre-Forward,26,₹224 Cr
Moussa Diaby,Right Winger,26,₹224 Cr
Richarlison,Centre-Forward,28,₹224 Cr
Christopher Nkunku,Centre-Forward,28,₹224 Cr
Theo Hernández,Left-Back,28,₹224 Cr
Dean Henderson,Goalkeeper,29,₹224 Cr
Mohamed Amoura,Centre-Forward,25,₹216 Cr
Daniel Muñoz,Right-Back,29,₹216 Cr
Jakub Kiwior,Centre-Back,26,₹216 Cr
Joey Veerman,Central Midfield,27,₹216 Cr
Bernardo Silva,Attacking Midfield,31,₹216 Cr
Kaio Jorge,Centre-Forward,24,₹208 Cr
Carlos Augusto,Left-Back,27,₹208 Cr
Barış Alper Yılmaz,Left Winger,25,₹208 Cr
Tylel Tati,Centre-Back,18,₹200 Cr
Nathan De Cat,Central Midfield,17,₹200 Cr
Giovanni Leoni,Centre-Back,19,₹200 Cr
Honest Ahanor,Centre-Back,18,₹200 Cr
Charalampos Kostoulas,Centre-Forward,18,₹200 Cr
Josh Acheampong,Right-Back,19,₹200 Cr
Givairo Read,Right-Back,19,₹200 Cr
Diego Gómez,Central Midfield,23,₹200 Cr
Christos Mouzakitis,Central Midfield,19,₹200 Cr
Jacobo Ramón,Centre-Back,21,₹200 Cr
Chris Rigg,Attacking Midfield,18,₹200 Cr
Jean-Mattéo Bahoya,Left Winger,20,₹200 Cr
Raúl Asencio,Centre-Back,23,₹200 Cr
Lewis Miley,Central Midfield,19,₹200 Cr
Mamadou Sarr,Centre-Back,20,₹200 Cr
Kees Smit,Central Midfield,20,₹200 Cr
Maxime Estève,Centre-Back,23,₹200 Cr
Javi Guerra,Central Midfield,22,₹200 Cr
Renato Veiga,Centre-Back,22,₹200 Cr
Mathys Tel,Centre-Forward,20,₹200 Cr
André,Defensive Midfield,24,₹200 Cr
Aleksandar Stanković,Defensive Midfield,20,₹200 Cr
Mika Godts,Left Winger,20,₹200 Cr
Robin Risser,Goalkeeper,21,₹200 Cr
Chemsdine Talbi,Right Winger,20,₹200 Cr
Rodrigo Muniz,Centre-Forward,24,₹200 Cr
Natan,Centre-Back,25,₹200 Cr
Tyrick Mitchell,Left-Back,26,₹200 Cr
Loïc Badé,Centre-Back,26,₹200 Cr
Aleksey Batrakov,Attacking Midfield,20,₹200 Cr
Ernest Poku,Right Winger,22,₹200 Cr
Lesley Ugochukwu,Defensive Midfield,22,₹200 Cr
Jon Gorrotxategi,Defensive Midfield,24,₹200 Cr
Carlos Romero,Left-Back,24,₹200 Cr
